timestamp,price
1601856000,10792.21
1601942400,10599.66
1602028800,10666.39
1602115200,10925.57
1602201600,11050.64
1602288000,11293.22
1602374400,11369.02
1602460800,11528.25
1602547200,11420.56
1602633600,11417.89
1602720000,11505.12
1602806400,11319.32
1602892800,11360.2
1602979200,11503.14
1603065600,11751.47
1603152000,11909.99
1603238400,12780.96
1603324800,12968.52
1603411200,12923.07
1603497600,13111.73
1603584000,13028.83
1603670400,13052.19
1603756800,13636.17
1603843200,13266.4
1603929600,13455.7
1604016000,13560.1
1604102400,13791.0
1604188800,13761.5
1604275200,13549.37
1604361600,14023.53
1604448000,14144.01
1604534400,15590.02
1604620800,15579.92
1604707200,14818.3
1604793600,15475.1
1604880000,15328.41
1604966400,15297.21
1605052800,15684.24
1605139200,16291.86
1605225600,16320.7
1605312000,16070.45
1605398400,15957.0
1605484800,16713.57
1605571200,17659.38
1605657600,17776.12
1605744000,17802.82
1605830400,18655.67
1605916800,18703.8
1606003200,18414.43
1606089600,18368.0
1606176000,19160.01
1606262400,18719.11
1606348800,17149.47
1606435200,17139.52
1606521600,17719.85
1606608000,18184.99
1606694400,19695.87
1606780800,18764.96
1606867200,19204.09
1606953600,19421.9
1607040000,18650.52
1607126400,19147.66
1607212800,19359.4
1607299200,19166.9
1607385600,18324.11
1607472000,18541.28
1607558400,18254.63
1607644800,18036.53
1607731200,18808.69
1607817600,19174.99
1607904000,19273.14
1607990400,19426.43
1608076800,21335.52
1608163200,22797.16
1608249600,23107.39
1608336000,23821.61
1608422400,23455.52
1608508800,22719.71
1608595200,23810.79
1608681600,23232.76
1608768000,23729.2
1608854400,24712.47
1608940800,26493.39
1609027200,26281.66
1609113600,27079.41
1609200000,27385.0
1609286400,28875.54
1609372800,28923.63
1609459200,29331.69
1609545600,32178.33
1609632000,33000.05
1609718400,31988.71
1609804800,33949.53
1609891200,36769.36
1609977600,39432.28
1610064000,40582.81
1610150400,40088.22
1610236800,38150.02
1610323200,35404.47
1610409600,34051.24
1610496000,37371.38
1610582400,39144.5
1610668800,36742.22
1610755200,35994.98
1610841600,35828.61
1610928000,36631.27
1611014400,35891.49
1611100800,35468.23
1611187200,30850.13
1611273600,32945.17
1611360000,32078.0
1611446400,32259.9
1611532800,32254.2
1611619200,32467.77
1611705600,30366.15
1611792000,33364.86
1611878400,34252.2
1611964800,34262.88
1612051200,33092.98
1612137600,33526.37
1612224000,35466.24
1612310400,37618.87
1612396800,36936.66
1612483200,38290.24
1612569600,39186.94
1612656000,38795.69
1612742400,46374.87
1612828800,46420.42
1612915200,44807.58
1613001600,47969.51
1613088000,47287.6
1613174400,47153.69
1613260800,48577.79
1613347200,47911.1
1613433600,49133.45
1613520000,52119.71
1613606400,51552.6
1613692800,55906.0
1613779200,55841.19
1613865600,57408.57
1613952000,54087.67
1614038400,48891.0
1614124800,49676.2
1614211200,47073.73
1614297600,46276.87
1614384000,46106.43
1614470400,45135.66
1614556800,49587.03
1614643200,48440.65
1614729600,50349.37
1614816000,48374.09
1614902400,48751.71
1614988800,48882.2
1615075200,50971.75
1615161600,52375.17
1615248000,54884.5
1615334400,55851.59
1615420800,57773.16
1615507200,57221.72
1615593600,61188.39
1615680000,58968.31
1615766400,55605.2
1615852800,56900.75
1615939200,58912.97
1616025600,57648.16
1616112000,58030.01
1616198400,58102.28
1616284800,57351.56
1616371200,54083.25
1616457600,54340.89
1616544000,52303.65
1616630400,51293.78
1616716800,55025.59
1616803200,55817.14
1616889600,55777.63
1616976000,57635.47
1617062400,58746.57
1617148800,58740.55
1617235200,58720.44
1617321600,58950.01
1617408000,57051.94
1617494400,58202.01
1617580800,59129.99
1617667200,57991.15
1617753600,55953.45
1617840000,58077.52
1617926400,58142.54
1618012800,59769.13
1618099200,60002.43
1618185600,59860.0
1618272000,63575.0
1618358400,62959.53
1618444800,63159.98
1618531200,61334.8
1618617600,60006.66
1618704000,56150.01
1618790400,55633.14
1618876800,56425.0
1618963200,53787.63
1619049600,51690.96
1619136000,51125.14
1619222400,50047.84
1619308800,49066.77
1619395200,54001.39
1619481600,55011.97
1619568000,54846.22
1619654400,53555.0
1619740800,57694.27
1619827200,57800.37
1619913600,56578.21
1620000000,57169.39
1620086400,53200.01
1620172800,57436.11
1620259200,56393.68
1620345600,57314.75
1620432000,58862.05
1620518400,58240.84
1620604800,55816.14
